,,,-10.2200E-3,-40.00000E-3,,,,,-10.2200E-3,659.999967E-3,
,,,-10.2100E-3,-40.00000E-3,,,,,-10.2100E-3,659.999967E-3,
,,,-10.2000E-3,-40.00000E-3,,,,,-10.2000E-3,680.000007E-3,
,,,-10.1900E-3,0.0,,,,,-10.1900E-3,680.000007E-3,
,,,-10.1800E-3,0.0,,,,,-10.1800E-3,659.999967E-3,
,,,-10.1700E-3,40.00000E-3,,,,,-10.1700E-3,659.999967E-3,
,,,-10.1600E-3,40.00000E-3,,,,,-10.1600E-3,659.999967E-3,
,,,-10.1500E-3,40.00000E-3,,,,,-10.1500E-3,659.999967E-3,
,,,-10.1400E-3,40.00000E-3,,,,,-10.1400E-3,659.999967E-3,
,,,-10.1300E-3,40.00000E-3,,,,,-10.1300E-3,639.999986E-3,
,,,-10.1200E-3,79.999998E-3,,,,,-10.1200E-3,639.999986E-3,
,,,-10.1100E-3,79.999998E-3,,,,,-10.1100E-3,639.999986E-3,
,,,-10.1000E-3,79.999998E-3,,,,,-10.1000E-3,639.999986E-3,
,,,-10.0900E-3,79.999998E-3,,,,,-10.0900E-3,659.999967E-3,
,,,-10.0800E-3,79.999998E-3,,,,,-10.0800E-3,639.999986E-3,
,,,-10.0700E-3,120.0000E-3,,,,,-10.0700E-3,639.999986E-3,
,,,-10.0600E-3,120.0000E-3,,,,,-10.0600E-3,659.999967E-3,
,,,-10.0500E-3,120.0000E-3,,,,,-10.0500E-3,659.999967E-3,
,,,-10.0400E-3,160.00000E-3,,,,,-10.0400E-3,659.999967E-3,
,,,-10.0300E-3,120.0000E-3,,,,,-10.0300E-3,659.999967E-3,
,,,-10.0200E-3,160.00000E-3,,,,,-10.0200E-3,639.999986E-3,
,,,-10.0100E-3,160.00000E-3,,,,,-10.0100E-3,639.999986E-3,
,,,-10.00000E-3,199.99999E-3,,,,,-10.00000E-3,639.999986E-3,
,,,-9.989999E-3,199.99999E-3,,,,,-9.989999E-3,639.999986E-3,
,,,-9.980000E-3,239.99999E-3,,,,,-9.980000E-3,639.999986E-3,
,,,-9.969999E-3,199.99999E-3,,,,,-9.969999E-3,639.999986E-3,
,,,-9.959999E-3,199.99999E-3,,,,,-9.959999E-3,639.999986E-3,
,,,-9.949999E-3,239.99999E-3,,,,,-9.949999E-3,639.999986E-3,
,,,-9.939999E-3,280.00000E-3,,,,,-9.939999E-3,639.999986E-3,
,,,-9.930000E-3,239.99999E-3,,,,,-9.930000E-3,639.999986E-3,
,,,-9.919999E-3,280.00000E-3,,,,,-9.919999E-3,639.999986E-3,
,,,-9.910000E-3,280.00000E-3,,,,,-9.910000E-3,639.999986E-3,
,,,-9.899999E-3,280.00000E-3,,,,,-9.899999E-3,620.000005E-3,
,,,-9.889999E-3,280.00000E-3,,,,,-9.889999E-3,639.999986E-3,
,,,-9.879999E-3,319.99999E-3,,,,,-9.879999E-3,599.999964E-3,
,,,-9.869999E-3,319.99999E-3,,,,,-9.869999E-3,659.999967E-3,
,,,-9.860000E-3,359.99998E-3,,,,,-9.860000E-3,639.999986E-3,
,,,-9.849999E-3,319.99999E-3,,,,,-9.849999E-3,639.999986E-3,
,,,-9.839999E-3,319.99999E-3,,,,,-9.839999E-3,620.000005E-3,
,,,-9.829999E-3,359.99998E-3,,,,,-9.829999E-3,639.999986E-3,
,,,-9.819999E-3,399.99998E-3,,,,,-9.819999E-3,620.000005E-3,
,,,-9.810000E-3,359.99998E-3,,,,,-9.810000E-3,620.000005E-3,
,,,-9.799999E-3,399.99998E-3,,,,,-9.799999E-3,620.000005E-3,
,,,-9.790000E-3,399.99998E-3,,,,,-9.790000E-3,639.999986E-3,
,,,-9.779999E-3,439.999998E-3,,,,,-9.779999E-3,639.999986E-3,
,,,-9.769999E-3,439.999998E-3,,,,,-9.769999E-3,620.000005E-3,
,,,-9.759999E-3,439.999998E-3,,,,,-9.759999E-3,620.000005E-3,
,,,-9.749999E-3,439.999998E-3,,,,,-9.749999E-3,639.999986E-3,
,,,-9.740000E-3,479.999989E-3,,,,,-9.740000E-3,639.999986E-3,
,,,-9.729999E-3,479.999989E-3,,,,,-9.729999E-3,639.999986E-3,
,,,-9.720000E-3,479.999989E-3,,,,,-9.720000E-3,639.999986E-3,
,,,-9.709999E-3,479.999989E-3,,,,,-9.709999E-3,639.999986E-3,
,,,-9.699999E-3,479.999989E-3,,,,,-9.699999E-3,639.999986E-3,
,,,-9.690000E-3,519.999981E-3,,,,,-9.690000E-3,659.999967E-3,
,,,-9.679999E-3,560.000002E-3,,,,,-9.679999E-3,639.999986E-3,
,,,-9.670000E-3,519.999981E-3,,,,,-9.670000E-3,639.999986E-3,
,,,-9.659999E-3,560.000002E-3,,,,,-9.659999E-3,639.999986E-3,
,,,-9.649999E-3,560.000002E-3,,,,,-9.649999E-3,639.999986E-3,
,,,-9.639999E-3,560.000002E-3,,,,,-9.639999E-3,659.999967E-3,
,,,-9.629999E-3,560.000002E-3,,,,,-9.629999E-3,659.999967E-3,
,,,-9.620000E-3,599.999964E-3,,,,,-9.620000E-3,659.999967E-3,
,,,-9.609999E-3,560.000002E-3,,,,,-9.609999E-3,659.999967E-3,
,,,-9.600000E-3,599.999964E-3,,,,,-9.600000E-3,639.999986E-3,
,,,-9.589999E-3,599.999964E-3,,,,,-9.589999E-3,659.999967E-3,
,,,-9.579999E-3,599.999964E-3,,,,,-9.579999E-3,659.999967E-3,
,,,-9.570000E-3,639.999986E-3,,,,,-9.570000E-3,659.999967E-3,
,,,-9.559999E-3,639.999986E-3,,,,,-9.559999E-3,659.999967E-3,
,,,-9.550000E-3,639.999986E-3,,,,,-9.550000E-3,659.999967E-3,
,,,-9.539999E-3,680.000007E-3,,,,,-9.539999E-3,659.999967E-3,
,,,-9.529999E-3,639.999986E-3,,,,,-9.529999E-3,659.999967E-3,
,,,-9.519999E-3,680.000007E-3,,,,,-9.519999E-3,680.000007E-3,
,,,-9.509999E-3,680.000007E-3,,,,,-9.509999E-3,680.000007E-3,
,,,-9.500000E-3,719.999969E-3,,,,,-9.500000E-3,659.999967E-3,
,,,-9.489999E-3,680.000007E-3,,,,,-9.489999E-3,680.000007E-3,
,,,-9.480000E-3,719.999969E-3,,,,,-9.480000E-3,680.000007E-3,
,,,-9.469999E-3,719.999969E-3,,,,,-9.469999E-3,719.999969E-3,
,,,-9.459999E-3,719.999969E-3,,,,,-9.459999E-3,680.000007E-3,
,,,-9.450000E-3,719.999969E-3,,,,,-9.450000E-3,699.999988E-3,
,,,-9.439999E-3,759.999990E-3,,,,,-9.439999E-3,699.999988E-3,
,,,-9.430000E-3,759.999990E-3,,,,,-9.430000E-3,659.999967E-3,
,,,-9.419999E-3,799.999952E-3,,,,,-9.419999E-3,699.999988E-3,
,,,-9.409999E-3,759.999990E-3,,,,,-9.409999E-3,699.999988E-3,
,,,-9.399999E-3,799.999952E-3,,,,,-9.399999E-3,699.999988E-3,
,,,-9.389999E-3,799.999952E-3,,,,,-9.389999E-3,680.000007E-3,
,,,-9.380000E-3,799.999952E-3,,,,,-9.380000E-3,719.999969E-3,
,,,-9.369999E-3,839.999974E-3,,,,,-9.369999E-3,699.999988E-3,
,,,-9.360000E-3,839.999974E-3,,,,,-9.360000E-3,699.999988E-3,
,,,-9.349999E-3,839.999974E-3,,,,,-9.349999E-3,699.999988E-3,
,,,-9.339999E-3,839.999974E-3,,,,,-9.339999E-3,719.999969E-3,
,,,-9.330000E-3,839.999974E-3,,,,,-9.330000E-3,719.999969E-3,
,,,-9.319999E-3,919.999957E-3,,,,,-9.319999E-3,719.999969E-3,
,,,-9.310000E-3,879.999995E-3,,,,,-9.310000E-3,719.999969E-3,
,,,-9.299999E-3,919.999957E-3,,,,,-9.299999E-3,740.000010E-3,
,,,-9.289999E-3,919.999957E-3,,,,,-9.289999E-3,740.000010E-3,
,,,-9.279999E-3,919.999957E-3,,,,,-9.279999E-3,740.000010E-3,
,,,-9.269999E-3,919.999957E-3,,,,,-9.269999E-3,759.999990E-3,
,,,-9.260000E-3,959.999979E-3,,,,,-9.260000E-3,719.999969E-3,
,,,-9.249999E-3,959.999979E-3,,,,,-9.249999E-3,740.000010E-3,
,,,-9.240000E-3,959.999979E-3,,,,,-9.240000E-3,759.999990E-3,
,,,-9.229999E-3,1.000,,,,,-9.229999E-3,759.999990E-3,
,,,-9.219999E-3,1.000,,,,,-9.219999E-3,759.999990E-3,
,,,-9.209999E-3,1.000,,,,,-9.209999E-3,759.999990E-3,
,,,-9.199999E-3,1.000,,,,,-9.199999E-3,759.999990E-3,
,,,-9.190000E-3,1.000,,,,,-9.190000E-3,759.999990E-3,
,,,-9.179999E-3,1.0400,,,,,-9.179999E-3,759.999990E-3,
,,,-9.170000E-3,1.0400,,,,,-9.170000E-3,799.999952E-3,
,,,-9.159999E-3,1.0800,,,,,-9.159999E-3,779.999971E-3,
,,,-9.149999E-3,1.0400,,,,,-9.149999E-3,799.999952E-3,
,,,-9.140000E-3,1.0800,,,,,-9.140000E-3,799.999952E-3,
,,,-9.129999E-3,1.0800,,,,,-9.129999E-3,819.999993E-3,
,,,-9.120000E-3,1.0800,,,,,-9.120000E-3,799.999952E-3,
,,,-9.109999E-3,1.1200,,,,,-9.109999E-3,819.999993E-3,
,,,-9.099999E-3,1.1200,,,,,-9.099999E-3,799.999952E-3,
,,,-9.089999E-3,1.1200,,,,,-9.089999E-3,819.999993E-3,
,,,-9.079999E-3,1.1200,,,,,-9.079999E-3,819.999993E-3,
